Burmese	English	Gender
ေအးေအးသစ္	Aye Aye Thit 	F
ေအးေအးသြယ္	Aye Aye Thwe 	F
ေအးေအးသြင္	Aye Aye Thwin 	F
ေအးေအးတင္	Aye Aye Tin 	F
ေအးေအးတင့္	Aye Aye Tint 	F
ေအးေအးထြန္း	Aye Aye Tun 	F
ေအးေအးဝင္း	Aye Aye Win 	F
ေအးေအးရီ	Aye Aye Yi 	F
ေအးေအးယဥ္၊ ေအးေအးရင္	Aye Aye Yin 	F
ေအးခ်မ္း	Aye Chan 	M
ေအးခ်စ္	Aye Chit 	M
ေအးခ်ဳိ	Aye Cho 	M
ေအးခ်ဳိ	Aye Cho 	F
ေအးဟန္	Aye Han 	M
ေအးလွ	Aye Hla 	F
ေအးလႈိင္	Aye Hlaing 	M
ေအးလႈိင္	Aye Hlaing 	F
ေအးေထြး	Aye Htwe 	F
ေအးခိုင္	Aye Khaing 	M
ေအးခိုင္	Aye Khaing 	F
ေအးခမ္း	Aye Khan 	F
ေအးခင္	Aye Khin 	F
ေအးကို	Aye Ko 	M
ေအးကိုကို	Aye Ko Ko 	M
ေအးႂကြယ္	Aye Kwe 	F
ေအးႀကိဳင္	Aye Kyaing 	M
ေအးႀကိဳင္	Aye Kyaing 	F
ေအးၾကမ္း	Aye Kyan 	M
ေအးေက်ာ္	Aye Kyaw 	M
ေအးေက်ာ္	Aye Kyaw 	F
ေအးၾကည္	Aye Kyi 	M
ေအးၾကည္	Aye Kyi 	F
ေအးၾကည္ၿငိမ္း	Aye Kyi Nyein 	F
ေအးၾကင္	Aye Kyin 	M
ေအးၾကင္	Aye Kyin 	F
ေအးၾကဴ	Aye Kyu 	M
ေအးၾကဴ	Aye Kyu 	F
ေအးေႂကြ	Aye Kywe 	M
ေအးေႂကြ	Aye Kywe 	F
ေအးလီ	Aye Li 	F
ေအးလြင္	Aye Lwin 	M
ေအးမာ	Aye Mar 	F
ေအးေမာင္	Aye Maung 	M
ေအးေမာ္	Aye Maw 	M
ေအးေမ	Aye May 	F
ေအးမီ	Aye Mi 	F
ေအးမိစံ	Aye Mi San 	F
ေအးမင္း	Aye Min 	M
ေအးမင္းဦး	Aye Min Oo 	M
ေအးမင္းစိုး	Aye Min Soe 	M
ေအးမင္းထြန္း	Aye Min Tun 	M
ေအးမြန္	Aye Mon 	F
ေအးမူ	Aye Mu 	M
ေအးမူ	Aye Mu 	F
ေအးျမ	Aye Mya 	F
ေအးျမေအာင္	Aye Mya Aung 	F
ေအးၿမိဳင္	Aye Myaing 	F
ေအးျမတ္မြန္	Aye Myat Mon 	F
ေအးျမတ္မြန္ဦး	Aye Myat Mon Oo 	F
ေအးျမတ္ႏြယ္	Aye Myat Nwe 	F
ေအးျမင့္	Aye Myint 	M
ေအးျမင့္	Aye Myint 	F
ေအးျမင့္ခိုင္	Aye Myint Khaing 	F
ေအးျမင့္ၾကည္	Aye Myint Kyi 	F
ေအးျမင့္ႏြယ္	Aye Myint Nwe 	F
ေအးျမင့္ဦး	Aye Myint Oo 	F
ေအးျမင့္စိုး	Aye Myint Soe 	F
ေအးျမင့္သန္း	Aye Myint Than 	F
ေအးျမင့္ရီ	Aye Myint Yi 	F
ေအးႏိုင္	Aye Naing 	M
ေအးနန္း	Aye Nan 	F
ေအးေငြ	Aye Ngwe 	M
ေအးေငြ	Aye Ngwe 	F
ေအးႏု	Aye Nu 	F
ေအးႏြယ္	Aye Nwe 	F
ေအးၿငိမ္း	Aye Nyein 	M
ေအးညိဳ	Aye Nyo 	F
ေအးၫြန္႔	Aye Nyunt 	M
ေအးၫြန္႔	Aye Nyunt 	F
ေအးေဖ	Aye Pe 	M
ေအးပို	Aye Po 	M
ေအးပို	Aye Po 	F
ေအးစန္း	Aye San 	M
ေအးစန္း	Aye San 	F
ေအးစႏၵာ	Aye Sandar 	F
ေအးစႏၵာဝင္း	Aye Sandar Win 	F
ေအးေဆာင္း	Aye Saung 	M
ေအးစိန္	Aye Sein 	M
ေအးစိန္	Aye Sein 	F
ေအး႐ွင္း	Aye Shin 	F
ေအးေ႐ႊ	Aye Shwe 	M
ေအးေ႐ႊ	Aye Shwe 	F
ေအးစိုး	Aye Soe 	M
ေအးေဆြ	Aye Swe 	M
ေအးေဆြ	Aye Swe 	F
ေအးသိုက္	Aye Thaik 	M
ေအးသန္း	Aye Than 	M
ေအးသန္း	Aye Than 	F
ေအးသန္႔	Aye Thant 	M
ေအးသန္႔	Aye Thant 	F
ေအးေသာင္း	Aye Thaung 	M
ေအးေသာင္း	Aye Thaung 	F
ေအးေသာ္	Aye Thaw 	M
ေအးသိန္း	Aye Thein 	M
ေအးသိန္း	Aye Thein 	F
ေအးသီ	Aye Thi 	F
ေအးသီတာ	Aye Thida 	F
ေအးသစ္	Aye Thit 	F
ေအးသြယ္	Aye Thwe 	M
ေအးသြင္	Aye Thwin 	M
ေအးသြင္	Aye Thwin 	F
ေအးတင္	Aye Tin 	M
ေအးတင္	Aye Tin 	F
ေအးတင့္	Aye Tint 	F
ေအးထြန္း	Aye Tun 	M
ေအးဝင္း	Aye Win 	M
ေအးဝင္း	Aye Win 	F
ေအးရီ	Aye Yi 	F
ေအးယဥ္၊ ေအးရင္	Aye Yin 	F
ေအးေဇာ္	Aye Zaw 	M
ဘေအာင္	Ba Aung 	M
ဘေအး	Ba Aye 	M
ဘခ်စ္	Ba Chit 	M
ဘခ်ဳိ	Ba Cho 	M
ဘၾကမ္း	Ba Gyan 	M
ဘဟန္	Ba Han 	M
ဘဟိန္း	Ba Hein 	M
ဘလွ	Ba Hla 	M
ဘလႈိင္	Ba Hlaing 	M
ဘေဌး	Ba Htay 	M
ဘထူး၊ ဗထူး	Ba Htoo 	M
ဘေထြး	Ba Htwe 	M
ဘခိုင္	Ba Khaing 	M
ဘခင္	Ba Khin 	M
ဘကို	Ba Ko 	M
ဘႀကိဳင္	Ba Kyaing 	M
ဘေက်ာ္	Ba Kyaw 	M
ဘၾကည္	Ba Kyi 	M
ဘၾကင္	Ba Kyin 	M
ဘလွ	Ba La 	M
ဘလြင္	Ba Lwin 	M
ဘေမာင္	Ba Maung 	M
ဘေမာ္	Ba Maw 	M
ဘၿမိဳင္	Ba Myaing 	M
ဘျမင့္	Ba Myint 	M
ဘေငြ	Ba Ngwe 	M
ဘနီ	Ba Ni 	M
ဘၿငိမ္း	Ba Nyein 	M
ဘၫြန္႔	Ba Nyunt 	M
ဘအုန္း	Ba Ohn 	M
ဘဦး	Ba Oo 	M
ဘပု	Ba Pu 	M
ဘစန္း၊ ဘဆန္း	Ba San 	M
ဘေစာ	Ba Saw 	M
ဘစိန္	Ba Sein 	M
ဘ႐ွိန္	Ba Shein 	M
ဘ႐ွင္း	Ba Shin 	M
ဘေ႐ႊ	Ba Shwe 	M
ဘစည္	Ba Si 	M
ဘဆင့္	Ba Sint 	M
ဘစိုး	Ba Soe 	M
ဘေဆြ	Ba Swe 	M
ဘသန္း	Ba Than 	M
ဘသာ	Ba Thar 	M
ဘေသာင္း	Ba Thaung 	M
ဘေသာ္	Ba Thaw 	M
ဘသိန္း	Ba Thein 	M
ဘသင္း	Ba Thin 	M
ဘသစ္	Ba Thit 	M
ဘသြင္	Ba Thwin 	M
ဘတင္	Ba Tin 	M
ဘတင့္	Ba Tint 	M
ဘတုတ္	Ba Toke 	M
ဘထြန္း	Ba Tun 	M
ဘဝမ္း	Ba Wan 	M
ဘဝင္း	Ba Win 	M
ဘရီ	Ba Yi 	M
ဘရင္	Ba Yin 	M
ဘရင္ေလး	Ba Yin Lay 	M
ဘဇံ	Ba Zan 	M
ဘို၊ ဗိုလ္	Bo 	M
ဘိုေအာင္၊ ဗိုလ္ေအာင္	Bo Aung 	M
ဘိုေအး၊ ဗိုလ္ေအး	Bo Aye 	M
ဘိုဘို	Bo Bo 	M
ဘိုဘိုဝင္း	Bo Bo Win 	M
ဘိုခ်ဳိ၊ ဗိုလ္ခ်ဳိ	Bo Cho 	M
ဘိုႀကီး	Bo Gyi 	M
ဘိုေဌး၊ ဗိုလ္ေဌး	Bo Htay 	M
ဘိုေက	Bo Kay 	M
ဘိုခင္၊ ဗိုလ္ခင္	Bo Khin 	M
ဘိုေက်ာ္	Bo Kyaw 	M
ဘိုၾကည္	Bo Kyi 	M
ဘိုၾကင္	Bo Kyin 	M
ဘိုေလး၊ ဗိုလ္ေလး	Bo Lay 	M
ဘိုေမာင္၊ ဗိုလ္ေမာင္	Bo Maung 	M
ဘိုျမင့္၊ ဗိုလ္ျမင့္	Bo Myint 	M
ဘိုနီ၊ ဗိုလ္နီ	Bo Ni 	M
